city,resolution,lag,acf,pacf
Rize,günlük,26,0.056842252756955494,0.009702117386192791
Rize,günlük,27,0.045967195415108436,0.0077461975810281325
Rize,günlük,28,0.04644884945574093,0.011066798872640737
Rize,günlük,29,0.03252174217154354,-0.0056260767002667585
Rize,günlük,30,0.07022491348399647,0.055526740333386504
Van,saatlik,1,0.9329285068875001,0.9329285068875001
Van,saatlik,2,0.8885640387272656,0.14044910245508063
Van,saatlik,3,0.840537206455245,-0.023848653712036566
Van,saatlik,4,0.7976068653282283,0.009629126981794689
Van,saatlik,5,0.7589986677498629,0.022086845628201426
Van,saatlik,6,0.7248190435840531,0.02488320639769216
Van,saatlik,7,0.7007126993892704,0.07286635404056066
Van,saatlik,8,0.6700604401461683,-0.03675318858872271
Van,saatlik,9,0.6451476691890765,0.018376423366087975
Van,saatlik,10,0.5966315325290371,-0.17979234235802125
Van,saatlik,11,0.5191138460614431,-0.31905902790341234
Van,saatlik,12,0.4307879250283223,-0.2535685772335461
Van,saatlik,13,0.47002485070411604,
Van,saatlik,14,0.51025859723312,
Van,saatlik,15,0.5319546103592119,
Van,saatlik,16,0.534547817844275,
Van,saatlik,17,0.5329041331338049,
Van,saatlik,18,0.526844356536475,
Van,saatlik,19,0.5192173023706332,
Van,saatlik,20,0.5141041328884376,
Van,saatlik,21,0.5097255200590527,
Van,saatlik,22,0.5102064017707578,
Van,saatlik,23,0.5119282961536032,
Van,saatlik,24,0.5135978166904144,
Van,saatlik,25,0.4946929441594269,
Van,saatlik,26,0.47357275322560305,
Van,saatlik,27,0.4575438101762465,
Van,saatlik,28,0.4441026730309352,
Van,saatlik,29,0.4351788424739203,
Van,saatlik,30,0.43257401480289254,
Van,saatlik,31,0.4328176038605991,
Van,saatlik,32,0.42924169976546356,
Van,saatlik,33,0.42379605060587583,
Van,saatlik,34,0.3899996061956935,
Van,saatlik,35,0.3137714993206916,
Van,saatlik,36,0.25374637902614455,
Van,saatlik,37,0.32785833308848783,
Van,saatlik,38,0.3872208969186836,
Van,saatlik,39,0.39482740993048776,
Van,saatlik,40,0.3866097605977205,
Van,saatlik,41,0.3795287645582141,
Van,saatlik,42,0.36868784540367533,
Van,saatlik,43,0.3644572776241607,
Van,saatlik,44,0.3599440048288245,
Van,saatlik,45,0.358084955685886,
Van,saatlik,46,0.3639180667484336,
Van,saatlik,47,0.3672134539691095,
Van,saatlik,48,0.37434943668008847,
Van,saatlik,49,0.3624545830757802,
Van,saatlik,50,0.3499436725348843,
Van,saatlik,51,0.3419748430734678,
Van,saatlik,52,0.3357904841097511,
Van,saatlik,53,0.3326881405351628,
Van,saatlik,54,0.33630412835659845,
Van,saatlik,55,0.34868756389684963,
Van,saatlik,56,0.3620679999397543,
Van,saatlik,57,0.3708789766612185,
Van,saatlik,58,0.35942048834860235,
Van,saatlik,59,0.2884011816606582,
Van,saatlik,60,0.21976420915493444,
Van,saatlik,61,0.28315483798552477,
Van,saatlik,62,0.34415361296333197,
Van,saatlik,63,0.3584639996227179,
Van,saatlik,64,0.34666783822050584,
Van,saatlik,65,0.33689517236115724,
Van,saatlik,66,0.32488414844773555,
Van,saatlik,67,0.3179376772208157,
Van,saatlik,68,0.3165547470049886,
Van,saatlik,69,0.3163927098757597,
Van,saatlik,70,0.3195380901429748,
Van,saatlik,71,0.33025000703114615,
Van,saatlik,72,0.3370962507435898,
Van,günlük,1,0.557790810983701,0.557790810983701
Van,günlük,2,0.3908731879388929,0.115758658791649
Van,günlük,3,0.34408659419662896,0.12761245856511766
Van,günlük,4,0.31555737843637466,0.08840257314128068
Van,günlük,5,0.29821849149777213,0.07774975533753622
Van,günlük,6,0.27452743797158186,0.04908823997725723
Van,günlük,7,0.2932004253733395,0.09978118657150394
Van,günlük,8,0.27619418677032437,0.038287794223157014
Van,günlük,9,0.26107567957198774,0.040664451062191666
Van,günlük,10,0.26234019598083524,0.05244381995131777
Van,günlük,11,0.25062928731205325,0.028918980017173787
Van,günlük,12,0.2554379540724154,0.05041507377084334
Van,günlük,13,0.2509663272552323,0.03487551657881129
Van,günlük,14,0.2523484560185731,0.040526346131184485
Van,günlük,15,0.2748899577409987,0.07185810531172289
Van,günlük,16,0.26309122946967856,0.024261246403341225
Van,günlük,17,0.24723332064714107,0.01618777492192124
Van,günlük,18,0.22892642372117464,0.004809240886161829
Van,günlük,19,0.2165188787504618,0.0045144511214501755
Van,günlük,20,0.22611365855662927,0.03326847931747674
Van,günlük,21,0.24688507433674695,0.05475824149659734
Van,günlük,22,0.2512989822852365,0.03155719312622488
Van,günlük,23,0.2501418352505088,0.030796370532586097
Van,günlük,24,0.23959687042803196,0.013737161762056516
Van,günlük,25,0.2328745196783219,0.015002549001771961
Van,günlük,26,0.23954722371121231,0.034307018921499136
Van,günlük,27,0.22348210245944816,-0.003088179233296044
Van,günlük,28,0.22236888433598842,0.016721616831373274
Van,günlük,29,0.2108397108875429,-0.003269057419364795
Van,günlük,30,0.22281759757072173,0.030278700107644975
